Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.5769230769230769,0.6896551724137931,0.6057692307692308,0.5,0.7115384615384616,10,CN,Dementia,115,58,102,13,52,6
2,0.330532212885154,0.5517241379310345,0.3753501400560224,0.14285714285714285,0.6078431372549019,10,CN,Dementia,115,58,103,12,51,7
3,0.42156862745098034,0.6491228070175439,0.3627450980392157,0.0,0.7254901960784313,10,CN,Dementia,116,57,103,13,51,6
