,Mean,Std
Fold,2.0,1.0
AUC,0.5857094974742033,0.2551755448955721
Accuracy,0.7117362371445856,0.19893527325479948
BalancedAccuracy,0.5627648495295554,0.1500925890426255
Sensitivity,0.373015873015873,0.11251941967268117
Specificity,0.7525138260432378,0.2103640994029174
TopK,20.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
