Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.6217948717948718,0.7931034482758621,0.5160256410256411,0.16666666666666666,0.8653846153846154,20,CN,Dementia,115,58,102,13,52,6
2,0.4117647058823529,0.5517241379310345,0.3137254901960784,0.0,0.6274509803921569,20,CN,Dementia,115,58,103,12,51,7
3,0.39869281045751637,0.7543859649122807,0.49509803921568624,0.16666666666666666,0.8235294117647058,20,CN,Dementia,116,57,103,13,51,6
