,Mean,Std
Fold,2.0,1.0
AUC,0.4774174627115803,0.12520521475842183
Accuracy,0.699737850373059,0.12963720601222115
BalancedAccuracy,0.4416163901458019,0.11124995661501016
Sensitivity,0.1111111111111111,0.09622504486493763
Specificity,0.7721216691804926,0.12702429162717133
TopK,20.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
