ROI,Feature,EffectSize,ROI_Name,Network
18,DFA,-0.4083666523104441,Schaefer2018_17Networks_LH_VisPeri_StriCal_2,VisPeri
18,HFD,0.324306078052828,Schaefer2018_17Networks_LH_VisPeri_StriCal_2,VisPeri
18,Spectral_Slope,-0.5200091300031238,Schaefer2018_17Networks_LH_VisPeri_StriCal_2,VisPeri
19,DFA,0.01419361659928148,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,VisPeri
19,HFD,-0.2257407772387846,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,VisPeri
19,Spectral_Slope,0.06572270307651723,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_8,VisPeri
20,DFA,-0.30087580998143865,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,VisPeri
20,HFD,0.33492514244119415,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,VisPeri
20,Spectral_Slope,-0.4070589226867172,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_9,VisPeri
21,DFA,0.22907126234906974,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,VisPeri
21,HFD,-0.4795216169438876,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,VisPeri
21,Spectral_Slope,0.17186421420908632,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_10,VisPeri
22,DFA,-0.00545421724447976,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,VisPeri
22,HFD,0.19764136546775077,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,VisPeri
22,Spectral_Slope,-0.17883446521569604,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_11,VisPeri
23,DFA,0.10293884301930403,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,VisPeri
23,HFD,-0.2666675370426433,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,VisPeri
23,Spectral_Slope,0.12391813975087414,Schaefer2018_17Networks_LH_VisPeri_ExStrSup_12,VisPeri
24,DFA,0.106769348367834,Schaefer2018_17Networks_LH_SomMotA_1,SomMotA
24,HFD,-0.16155283951015595,Schaefer2018_17Networks_LH_SomMotA_1,SomMotA
24,Spectral_Slope,-0.0365598494859102,Schaefer2018_17Networks_LH_SomMotA_1,SomMotA
25,DFA,0.06306499772558077,Schaefer2018_17Networks_LH_SomMotA_2,SomMotA
25,HFD,-0.1552110331613539,Schaefer2018_17Networks_LH_SomMotA_2,SomMotA
25,Spectral_Slope,-0.04330468448605394,Schaefer2018_17Networks_LH_SomMotA_2,SomMotA
26,DFA,0.07971776667167452,Schaefer2018_17Networks_LH_SomMotA_3,SomMotA
26,HFD,-0.03721056285930979,Schaefer2018_17Networks_LH_SomMotA_3,SomMotA
26,Spectral_Slope,0.26697421067749544,Schaefer2018_17Networks_LH_SomMotA_3,SomMotA
27,DFA,0.1535819909889398,Schaefer2018_17Networks_LH_SomMotA_4,SomMotA
27,HFD,-0.07333099456603025,Schaefer2018_17Networks_LH_SomMotA_4,SomMotA
27,Spectral_Slope,0.17893302427015273,Schaefer2018_17Networks_LH_SomMotA_4,SomMotA
28,DFA,-0.025875519699449713,Schaefer2018_17Networks_LH_SomMotA_5,SomMotA
28,HFD,0.08349351327291366,Schaefer2018_17Networks_LH_SomMotA_5,SomMotA
28,Spectral_Slope,0.016435900894126148,Schaefer2018_17Networks_LH_SomMotA_5,SomMotA
29,DFA,-0.22729083649221588,Schaefer2018_17Networks_LH_SomMotA_6,SomMotA
29,HFD,-0.014659604446916665,Schaefer2018_17Networks_LH_SomMotA_6,SomMotA
29,Spectral_Slope,-0.16979500991461563,Schaefer2018_17Networks_LH_SomMotA_6,SomMotA
30,DFA,0.17290042675439757,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
30,HFD,-0.1685729356750462,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
30,Spectral_Slope,0.08838130014395962,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
31,DFA,-0.1179884621257123,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
31,HFD,0.061043691488662184,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
31,Spectral_Slope,-0.20145647350310694,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
32,DFA,-0.10262759807554021,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
32,HFD,0.0797020002942894,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
32,Spectral_Slope,-0.21147979079189153,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
33,DFA,-0.017440565525644543,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
33,HFD,0.023948267820663557,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
33,Spectral_Slope,0.2169446661219122,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
34,DFA,0.030016680485394905,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
34,HFD,-0.06362971481996917,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
34,Spectral_Slope,0.014734772043013248,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
35,DFA,0.1256645770216068,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
