Network,Feature,EffectSize
Buckner,DFA,-0.1846703114211661
Buckner,HFD,0.11004164557939902
Buckner,Spectral_Slope,-0.06004858084961578
ContA,DFA,-0.08409317151629747
ContA,HFD,-0.049161346964257974
ContA,Spectral_Slope,0.08453566871776147
ContB,DFA,-0.172607387488027
ContB,HFD,0.09414024380302445
ContB,Spectral_Slope,0.0309368379000097
ContC,DFA,-0.05467469164731337
ContC,HFD,-0.13737237587021997
ContC,Spectral_Slope,0.12038909199677944
DefaultA,DFA,-0.03621570635974797
DefaultA,HFD,-0.060072582400457125
DefaultA,Spectral_Slope,0.15562494286685588
DefaultB,DFA,-0.20429613162357046
DefaultB,HFD,0.10153504404882972
DefaultB,Spectral_Slope,0.02941450840571015
DefaultC,DFA,-0.0715059333291615
DefaultC,HFD,-0.03962941663687068
DefaultC,Spectral_Slope,0.05267778496047382
DorsAttnA,DFA,0.043203871636845186
DorsAttnA,HFD,-0.08333359458965826
DorsAttnA,Spectral_Slope,0.09145635642397185
DorsAttnB,DFA,0.08582417751505225
DorsAttnB,HFD,-0.1824228185435618
DorsAttnB,Spectral_Slope,0.19602792551622886
Limbic,DFA,-0.2025512426737662
Limbic,HFD,0.1068120156178012
Limbic,Spectral_Slope,-0.007682123415258284
SalVentAttnA,DFA,0.09344757808011382
SalVentAttnA,HFD,-0.1866231874514383
SalVentAttnA,Spectral_Slope,0.2016387890400529
SalVentAttnB,DFA,-0.13952846836497687
SalVentAttnB,HFD,0.070348804481955
SalVentAttnB,Spectral_Slope,0.04195823237115642
SomMotA,DFA,-0.002297151288986903
SomMotA,HFD,-0.07731485506622351
SomMotA,Spectral_Slope,0.08166396583175964
SomMotB,DFA,0.08805087444592047
SomMotB,HFD,-0.2285435856074581
SomMotB,Spectral_Slope,0.20579047199767414
Subcortical,DFA,-0.17721174644212706
Subcortical,HFD,0.1735594198702599
Subcortical,Spectral_Slope,0.009372612836096668
TempPar,DFA,0.08445739142212709
TempPar,HFD,-0.1659091708751466
TempPar,Spectral_Slope,0.2020298279580735
VisCent,DFA,-0.11681703078060855
VisCent,HFD,0.10362999320092979
VisCent,Spectral_Slope,-0.04806856161976366
VisPeri,DFA,-0.03540618227620003
VisPeri,HFD,-0.06145770812880505
VisPeri,Spectral_Slope,0.06167409615999984
