Diagnosis,Age,FDMean_motion,FDMax_motion,FDPerc_motion,Fractal_Dim,Graph_Density,Graph_MeanDegree,Graph_StdDegree,Graph_Entropy,Graph_ThresholdScaling,Spectral_Slope,DFA,HFD,Hvar,Hrange,Htrend
CN,68.98766233766234,0.6697077595815953,0.15223448695445457,3.2003710575139146,2.124694701012085,0.14622500880097117,63.315428810820514,35.56552306496576,5.883759638955996,-2.344356383997786,0.4263767806867041,0.6602196540923939,0.9373200261088586,0.008211801749245556,0.2862099063703047,-7.791292499076495e-05
Dementia,76.83684210526316,0.7629478951698748,0.1489979687333254,3.4640171858216973,2.1257857825455964,0.133276460166284,57.70870725200098,33.07438999921982,5.884160922628599,-2.447895794323864,0.4154037738723642,0.6575695142003536,0.9386974185555086,0.008289836999442945,0.28731014015852674,0.001334727630624924
MCI,72.47678571428571,0.7873370450036657,0.1607193604159672,3.3072157434402336,2.125745947072329,0.14267906745503833,61.7800362080316,33.48563537973791,5.899388862873631,-2.4069384818260153,0.40485148480586675,0.6585313282123151,0.9392057984116037,0.008260273794908719,0.28718272974923476,-0.0014217403610460473
