Network,Feature,EffectSize
Buckner,DFA,0.00936662455216651
Buckner,HFD,-0.07413156877293461
Buckner,Spectral_Slope,0.07669117914011293
ContA,DFA,-0.09645449473684696
ContA,HFD,-0.03325077506229482
ContA,Spectral_Slope,0.1261767087537283
ContB,DFA,-0.11214368762932983
ContB,HFD,0.005344142542361219
ContB,Spectral_Slope,0.01971817929692703
ContC,DFA,0.017985110443219817
ContC,HFD,-0.114019594845804
ContC,Spectral_Slope,0.1102282247161297
DefaultA,DFA,0.01691982720575507
DefaultA,HFD,-0.08410329570510493
DefaultA,Spectral_Slope,0.10715441367983733
DefaultB,DFA,-0.10740389554903912
DefaultB,HFD,0.04298587186719144
DefaultB,Spectral_Slope,0.04120246660958042
DefaultC,DFA,-0.07424464391781854
DefaultC,HFD,0.035617457953711254
DefaultC,Spectral_Slope,-0.026017279660186667
DorsAttnA,DFA,-0.07666452452132572
DorsAttnA,HFD,0.013798892336233052
DorsAttnA,Spectral_Slope,0.02046982976042826
DorsAttnB,DFA,0.009609662625567736
DorsAttnB,HFD,-0.11487663004295522
DorsAttnB,Spectral_Slope,0.13722311993215736
Limbic,DFA,-0.22678238689043587
Limbic,HFD,0.16872733727400807
Limbic,Spectral_Slope,-0.13094790917270335
SalVentAttnA,DFA,0.08509793496884642
SalVentAttnA,HFD,-0.11802481148268376
SalVentAttnA,Spectral_Slope,0.15597748562646827
SalVentAttnB,DFA,-0.14184250962277084
SalVentAttnB,HFD,0.11052994304732218
SalVentAttnB,Spectral_Slope,-0.03262274077923259
SomMotA,DFA,0.023246946761109825
SomMotA,HFD,-0.08775274980292092
SomMotA,Spectral_Slope,0.12817781438707743
SomMotB,DFA,0.05775723365329314
SomMotB,HFD,-0.14788747547995867
SomMotB,Spectral_Slope,0.14066739589759178
Subcortical,DFA,-0.043997923178785425
Subcortical,HFD,0.0580728261574122
Subcortical,Spectral_Slope,0.003726570912538225
TempPar,DFA,0.20681668791886965
TempPar,HFD,-0.15901666913513315
TempPar,Spectral_Slope,0.17139620943588518
VisCent,DFA,-0.1230067628184792
VisCent,HFD,0.15700272498441067
VisCent,Spectral_Slope,-0.04250226908526534
VisPeri,DFA,-0.041155672266773434
VisPeri,HFD,-0.04781914348913177
VisPeri,Spectral_Slope,0.03843254562353574
