Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.7051282051282051,0.6896551724137931,0.6794871794871795,0.6666666666666666,0.6923076923076923,20,CN,Dementia,115,58,102,13,52,6
2,0.5462184873949579,0.8103448275862069,0.6456582633053222,0.42857142857142855,0.8627450980392157,20,CN,Dementia,115,58,103,12,51,7
3,0.7189542483660131,0.7719298245614035,0.7254901960784313,0.6666666666666666,0.7843137254901961,20,CN,Dementia,116,57,103,13,51,6
