ROI,Feature,EffectSize,ROI_Name,Network
0,DFA,-0.27420050740952934,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
0,HFD,0.3162684243887775,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
0,Spectral_Slope,-0.19507934054624024,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent
1,DFA,-0.1353042329673394,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
1,HFD,0.17859164459767668,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
1,Spectral_Slope,-0.09145190242775245,Schaefer2018_17Networks_LH_VisCent_ExStr_2,VisCent
2,DFA,0.04516652446010867,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
2,HFD,0.25822163999539915,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
2,Spectral_Slope,-0.10897334653035481,Schaefer2018_17Networks_LH_VisCent_ExStr_3,VisCent
3,DFA,-0.3256965889063094,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
3,HFD,0.3174325753127603,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
3,Spectral_Slope,-0.05220562701730265,Schaefer2018_17Networks_LH_VisCent_ExStr_4,VisCent
4,DFA,-0.047432778786738246,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
4,HFD,0.06771800318495273,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
4,Spectral_Slope,-0.0098177110959718,Schaefer2018_17Networks_LH_VisCent_ExStr_5,VisCent
5,DFA,-0.14272428071977705,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
5,HFD,0.1699762461633172,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
5,Spectral_Slope,0.12319584001262145,Schaefer2018_17Networks_LH_VisCent_ExStr_6,VisCent
6,DFA,-0.10533870948158672,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
6,HFD,0.06670469033400894,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
6,Spectral_Slope,0.1026328074713958,Schaefer2018_17Networks_LH_VisCent_Striate_1,VisCent
7,DFA,-0.002461121040881629,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
7,HFD,-0.018188719477102447,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
7,Spectral_Slope,0.2957144899266347,Schaefer2018_17Networks_LH_VisCent_ExStr_8,VisCent
8,DFA,-0.3937156861818245,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
8,HFD,0.32953158888792505,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
8,Spectral_Slope,-0.24025493343780807,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent
9,DFA,0.1042721331644596,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
9,HFD,-0.025757440179417914,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
9,Spectral_Slope,0.16083970398483502,Schaefer2018_17Networks_LH_VisCent_ExStr_10,VisCent
10,DFA,-0.23249908988689982,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
10,HFD,0.37366959351887935,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
10,Spectral_Slope,-0.20791768676123187,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent
11,DFA,-0.16043759299059188,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
11,HFD,0.24801469966971407,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
11,Spectral_Slope,-0.28664985814521765,Schaefer2018_17Networks_LH_VisCent_ExStr_12,VisCent
12,DFA,0.21184042226318264,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
12,HFD,-0.30380755959680666,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
12,Spectral_Slope,0.012895622666172783,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_1,VisPeri
13,DFA,0.0032165379065381187,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
13,HFD,-0.11613439514407164,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
13,Spectral_Slope,0.20680926088888946,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_2,VisPeri
14,DFA,-0.4732678972823285,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
14,HFD,0.5554034358890564,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
14,Spectral_Slope,-0.34426714403091296,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_3,VisPeri
