Network,Feature,EffectSize
Buckner,DFA,-0.444174399368561
Buckner,HFD,0.28392738526944716
Buckner,Spectral_Slope,-0.2142283353885274
ContA,DFA,-0.37416507762689627
ContA,HFD,0.27235502636308345
ContA,Spectral_Slope,-0.053833491247360976
ContB,DFA,-0.4600171355478731
ContB,HFD,0.34627972871580687
ContB,Spectral_Slope,-0.10364830116208512
ContC,DFA,-0.5572672025876131
ContC,HFD,0.367628042252786
ContC,Spectral_Slope,-0.17759070417481274
DefaultA,DFA,-0.33278705595683916
DefaultA,HFD,0.19952030402759405
DefaultA,Spectral_Slope,0.028964001049759113
DefaultB,DFA,-0.44112028567952755
DefaultB,HFD,0.3964930668666523
DefaultB,Spectral_Slope,-0.18103630572431176
DefaultC,DFA,-0.46930114295163033
DefaultC,HFD,0.2791244609733232
DefaultC,Spectral_Slope,-0.17436430844931816
DorsAttnA,DFA,-0.38834734911253427
DorsAttnA,HFD,0.29390335890229996
DorsAttnA,Spectral_Slope,-0.19741605183369706
DorsAttnB,DFA,-0.27428663497635547
DorsAttnB,HFD,0.12035968748902436
DorsAttnB,Spectral_Slope,-0.022407266946079165
Limbic,DFA,-0.39234771184409495
Limbic,HFD,0.2487682795113461
Limbic,Spectral_Slope,-0.17179764423254493
SalVentAttnA,DFA,-0.2663678910810196
SalVentAttnA,HFD,0.1274639476316596
SalVentAttnA,Spectral_Slope,0.040805976097600595
SalVentAttnB,DFA,-0.4107110194898049
SalVentAttnB,HFD,0.35293167896475164
SalVentAttnB,Spectral_Slope,-0.05326503837964664
SomMotA,DFA,-0.37108505080517407
SomMotA,HFD,0.24931512328901745
SomMotA,Spectral_Slope,-0.1235712417531117
SomMotB,DFA,-0.3049788433512558
SomMotB,HFD,0.05251320521875415
SomMotB,Spectral_Slope,0.05380535528257258
Subcortical,DFA,-0.5825758976695669
Subcortical,HFD,0.3151443605169881
Subcortical,Spectral_Slope,-0.1519654174066052
TempPar,DFA,-0.2838171464283914
TempPar,HFD,0.1510087298334659
TempPar,Spectral_Slope,-0.046369476686762126
VisCent,DFA,-0.6046463261918511
VisCent,HFD,0.49641544479343774
VisCent,Spectral_Slope,-0.3729869621457589
VisPeri,DFA,-0.4366542972060991
VisPeri,HFD,0.28966106184998175
VisPeri,Spectral_Slope,-0.2654712352397332
