Network,Feature,EffectSize
Buckner,DFA,0.04246705136859409
Buckner,HFD,-0.06299560908856161
Buckner,Spectral_Slope,0.007221490747253834
ContA,DFA,-0.08255142608839278
ContA,HFD,0.013235380526848597
ContA,Spectral_Slope,0.04817114103259917
ContB,DFA,-0.11231768387503212
ContB,HFD,0.01774340185496203
ContB,Spectral_Slope,-0.035710248176411746
ContC,DFA,0.04512883138602619
ContC,HFD,-0.03398416635113025
ContC,Spectral_Slope,0.12255785081682492
DefaultA,DFA,0.04827836228972812
DefaultA,HFD,-0.03415004764406681
DefaultA,Spectral_Slope,0.04946909610067041
DefaultB,DFA,-0.06981716152058459
DefaultB,HFD,0.053033354769897637
DefaultB,Spectral_Slope,0.0061516658375911784
DefaultC,DFA,-0.03717178988464728
DefaultC,HFD,0.07368476839914515
DefaultC,Spectral_Slope,-0.083552229280382
DorsAttnA,DFA,-0.008666359427205785
DorsAttnA,HFD,0.031679587767240905
DorsAttnA,Spectral_Slope,-0.05293322415284057
DorsAttnB,DFA,0.10328965299492797
DorsAttnB,HFD,-0.15740398917635226
DorsAttnB,Spectral_Slope,0.12897353861945743
Limbic,DFA,-0.16544373321050665
Limbic,HFD,0.09970979294626814
Limbic,Spectral_Slope,-0.07623515693908196
SalVentAttnA,DFA,0.16248268877412805
SalVentAttnA,HFD,-0.13661141010593883
SalVentAttnA,Spectral_Slope,0.1499494092338584
SalVentAttnB,DFA,-0.15741064437199645
SalVentAttnB,HFD,0.13538413714652928
SalVentAttnB,Spectral_Slope,-0.128431653214816
SomMotA,DFA,0.15122567366201908
SomMotA,HFD,-0.14397229089975142
SomMotA,Spectral_Slope,0.1366721431341221
SomMotB,DFA,0.14185736349656514
SomMotB,HFD,-0.17173609140988114
SomMotB,Spectral_Slope,0.13674325703388976
Subcortical,DFA,0.04742337808167354
Subcortical,HFD,0.029717483871462752
Subcortical,Spectral_Slope,0.0209162408871513
TempPar,DFA,0.2593448921512588
TempPar,HFD,-0.12396415738298384
TempPar,Spectral_Slope,0.11995902759976532
VisCent,DFA,-0.08111455630528869
VisCent,HFD,0.14803181738094193
VisCent,Spectral_Slope,-0.08851971870769067
VisPeri,DFA,-0.04088085320243478
VisPeri,HFD,0.012281520910824215
VisPeri,Spectral_Slope,-0.08455493526811239
