Diagnosis,Age,FDMean_motion,FDMax_motion,FDPerc_motion,Fractal_Dim,Graph_Density,Graph_MeanDegree,Graph_StdDegree,Graph_Entropy,Graph_ThresholdScaling,Spectral_Slope,DFA,HFD,Hvar,Hrange,Htrend
CN,68.98766233766234,0.6697077595815953,0.15223448695445457,3.2003710575139146,2.178577391378314,0.44969299918161687,194.71706864564007,74.25195063340065,5.9604521253352605,-1.4720545442626598,0.5329228450229415,0.6914867405705323,0.9209232325524711,0.00830528106379124,0.2886326838626678,0.00031448430722939033
Dementia,76.83684210526316,0.7629478951698748,0.1489979687333254,3.4640171858216973,2.16937568189897,0.33022379385848216,142.98690274072277,64.42586755941184,5.934874424750071,-1.7534048494379726,0.5223015301962138,0.6915082042271806,0.922453622690968,0.008514890593136861,0.2941934387826781,0.00011364183689739316
MCI,72.47678571428571,0.7873370450036657,0.1607193604159672,3.3072157434402336,2.1776691231893754,0.4306724142387343,186.48115536537196,72.22333407064328,5.956757318509495,-1.5193516282361812,0.5124178632298524,0.6904879657524756,0.9217866238250918,0.008816980649824521,0.2964974716057266,-0.001787220695426831
