group,n,mean,std,median,feature
CN,154,2.1246947010120856,0.03646277559385844,2.1298905484246227,Fractal_Dim
Dementia,19,2.125785782545596,0.02691851217991825,2.1237008452912267,Fractal_Dim
MCI,56,2.1257459470723283,0.03537609577474825,2.1284342561617517,Fractal_Dim
CN,154,0.1462250088009711,0.06032522919218983,0.13539127936058576,Graph_Density
Dementia,19,0.13327646016628394,0.04488964374387053,0.1186236842945477,Graph_Density
MCI,56,0.14267906745503828,0.06622552729847005,0.12384393524973125,Graph_Density
CN,154,63.315428810820514,26.12082424021819,58.62442396313364,Graph_MeanDegree
Dementia,19,57.70870725200098,19.437215741095937,51.36405529953917,Graph_MeanDegree
MCI,56,61.7800362080316,28.675653320237526,53.62442396313364,Graph_MeanDegree
CN,154,35.56552306496576,11.73846425551181,34.382994686468024,Graph_StdDegree
Dementia,19,33.074389999219825,9.53230102778514,30.660011993635827,Graph_StdDegree
MCI,56,33.48563537973791,13.231454139871266,30.3256332349533,Graph_StdDegree
CN,154,5.883759638955996,0.06504603448066458,5.892299503951213,Graph_Entropy
Dementia,19,5.8841609226286,0.05553462390262009,5.910101942954912,Graph_Entropy
MCI,56,5.899388862873631,0.05017870032653571,5.906064527566784,Graph_Entropy
CN,154,-2.344356383997786,0.3648236195118904,-2.3333507283066206,Graph_ThresholdScaling
Dementia,19,-2.447895794323864,0.2794443873077171,-2.467145950329216,Graph_ThresholdScaling
MCI,56,-2.4069384818260153,0.36552150191069266,-2.4427923906129774,Graph_ThresholdScaling
CN,154,0.4263767806867041,0.17418738322833477,0.4231457883145958,Spectral_Slope
Dementia,19,0.41540377387236416,0.15914972660543547,0.3897011897732818,Spectral_Slope
MCI,56,0.40485148480586675,0.19906163426119955,0.38523762879299045,Spectral_Slope
CN,154,0.6602196540923939,0.048031773439790856,0.6602152210850569,DFA
Dementia,19,0.6575695142003535,0.04704254167977125,0.6406500254888343,DFA
MCI,56,0.658531328212315,0.05226956111988965,0.6603198998729711,DFA
CN,154,0.9373200261088586,0.026424726122232862,0.9388514629511673,HFD
Dementia,19,0.9386974185555086,0.023366831179225226,0.9398054721355708,HFD
MCI,56,0.9392057984116037,0.029125078876359303,0.9429159659897897,HFD
CN,154,0.008211801749245509,0.001570325381736038,0.00797232872330215,Hvar
Dementia,19,0.008289836999442895,0.001382337870070822,0.0080398924370651,Hvar
MCI,56,0.008260273794908669,0.0012735817021067603,0.0078354169302586,Hvar
CN,154,0.2862099063703047,0.02354899160265603,0.2830995024398224,Hrange
Dementia,19,0.28731014015852674,0.021787674615640303,0.2856719133825235,Hrange
MCI,56,0.2871827297492347,0.02088694923889608,0.28438561838383336,Hrange
CN,154,-7.791292499076356e-05,0.006557257998343822,-0.00038736226889470005,Htrend
Dementia,19,0.001334727630624914,0.004246863270129453,0.0021361671649575,Htrend
MCI,56,-0.001421740361046041,0.005812905650687969,-0.0007150491818905,Htrend
