Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.5673076923076923,0.7413793103448276,0.5608974358974359,0.3333333333333333,0.7884615384615384,10,CN,Dementia,115,58,102,13,52,6
2,0.33893557422969184,0.5689655172413793,0.3851540616246498,0.14285714285714285,0.6274509803921569,10,CN,Dementia,115,58,103,12,51,7
3,0.35947712418300654,0.5964912280701754,0.48039215686274506,0.3333333333333333,0.6274509803921569,10,CN,Dementia,116,57,103,13,51,6
