,Mean,Std
Fold,2.0,1.0
AUC,0.4219067969067969,0.12633904426644094
Accuracy,0.6356120185521275,0.09262535397519008
BalancedAccuracy,0.4754812181282769,0.08797454966998364
Sensitivity,0.2698412698412698,0.10997147984564298
Specificity,0.681121166415284,0.09295948904372932
TopK,10.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
