ROI_Index,Feature,EffectSize,AbsEffect,ROI_Name,Network,Fold
111,Spectral_Slope,1.198641947442512,1.198641947442512,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,1
392,Spectral_Slope,0.9593215657261825,0.9593215657261825,Schaefer2018_17Networks_RH_TempPar_3,TempPar,1
159,Spectral_Slope,0.9510475931262699,0.9510475931262699,Schaefer2018_17Networks_LH_DefaultA_pCunPCC_7,DefaultA,1
368,DFA,-0.9342848807410591,0.9342848807410591,Schaefer2018_17Networks_RH_DefaultA_PFCm_2,DefaultA,1
415,DFA,-0.8932532264457647,0.8932532264457647,FreeSurfer_Right-Accumbens-area,Subcortical,1
89,HFD,-0.8920078395031509,0.8920078395031509,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA,1
45,Spectral_Slope,0.834823527040815,0.834823527040815,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
415,HFD,0.8098147199223781,0.8098147199223781,FreeSurfer_Right-Accumbens-area,Subcortical,1
125,Spectral_Slope,0.8016172192049263,0.8016172192049263,Schaefer2018_17Networks_LH_ContA_IPS_5,ContA,1
290,DFA,0.8015226771164016,0.8015226771164016,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,1
319,DFA,-0.7936639120606961,0.7936639120606961,Schaefer2018_17Networks_RH_Limbic_TempPole_2,Limbic,1
89,Spectral_Slope,0.7886493349116737,0.7886493349116737,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA,1
92,Spectral_Slope,0.7878002037100399,0.7878002037100399,Schaefer2018_17Networks_LH_SalVentAttnA_FrOper_1,SalVentAttnA,1
312,Spectral_Slope,0.7795942475664838,0.7795942475664838,Schaefer2018_17Networks_RH_Limbic_OFC_1,Limbic,1
309,Spectral_Slope,0.7690631458727524,0.7690631458727524,Schaefer2018_17Networks_RH_SalVentAttnB_Ins_2,SalVentAttnB,1
103,DFA,-0.7599126569957785,0.7599126569957785,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
96,HFD,-0.7558877982009241,0.7558877982009241,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_3,SalVentAttnA,1
45,HFD,-0.743759841074207,0.743759841074207,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
433,DFA,-0.7430157311888302,0.7430157311888302,Buckner2011_17Networks_17,Buckner,1
398,Spectral_Slope,0.740407858429084,0.740407858429084,Schaefer2018_17Networks_RH_TempPar_9,TempPar,1
403,HFD,1.8429928530357884,1.8429928530357884,FreeSurfer_Left-Pallidum,Subcortical,2
108,Spectral_Slope,-1.1672745934473732,1.1672745934473732,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
132,HFD,1.1535848199869128,1.1535848199869128,Schaefer2018_17Networks_LH_ContA_Cingm_1,ContA,2
111,HFD,1.078012133625379,1.078012133625379,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
132,DFA,-1.0678053959306362,1.0678053959306362,Schaefer2018_17Networks_LH_ContA_Cingm_1,ContA,2
178,DFA,-1.0262720077322411,1.0262720077322411,Schaefer2018_17Networks_LH_DefaultB_PFCd_5,DefaultB,2
111,Spectral_Slope,-1.0197981888334267,1.0197981888334267,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
407,DFA,-1.0054282558587457,1.0054282558587457,FreeSurfer_Left-Accumbens-area,Subcortical,2
108,HFD,0.9898436817806335,0.9898436817806335,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
403,DFA,-0.9749087980746158,0.9749087980746158,FreeSurfer_Left-Pallidum,Subcortical,2
114,DFA,-0.9296316399343633,0.9296316399343633,Schaefer2018_17Networks_LH_Limbic_TempPole_2,Limbic,2
319,DFA,-0.9198330623208996,0.9198330623208996,Schaefer2018_17Networks_RH_Limbic_TempPole_2,Limbic,2
111,DFA,-0.9175208161122477,0.9175208161122477,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
206,DFA,-0.8792594346174103,0.8792594346174103,Schaefer2018_17Networks_RH_VisCent_Striate_1,VisCent,2
114,HFD,0.8540520947898899,0.8540520947898899,Schaefer2018_17Networks_LH_Limbic_TempPole_2,Limbic,2
319,HFD,0.8489839615236435,0.8489839615236435,Schaefer2018_17Networks_RH_Limbic_TempPole_2,Limbic,2
415,HFD,0.8484386378076693,0.8484386378076693,FreeSurfer_Right-Accumbens-area,Subcortical,2
179,HFD,0.8416123445830592,0.8416123445830592,Schaefer2018_17Networks_LH_DefaultB_PFCd_6,DefaultB,2
178,HFD,0.8397012734719598,0.8397012734719598,Schaefer2018_17Networks_LH_DefaultB_PFCd_5,DefaultB,2
206,HFD,0.820618240640802,0.820618240640802,Schaefer2018_17Networks_RH_VisCent_Striate_1,VisCent,2
312,Spectral_Slope,1.00496023285802,1.00496023285802,Schaefer2018_17Networks_RH_Limbic_OFC_1,Limbic,3
45,Spectral_Slope,0.9782606773438958,0.9782606773438958,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,3
392,Spectral_Slope,0.9699728024832897,0.9699728024832897,Schaefer2018_17Networks_RH_TempPar_3,TempPar,3
375,Spectral_Slope,0.8024181672898152,0.8024181672898152,Schaefer2018_17Networks_RH_DefaultB_AntTemp_1,DefaultB,3
385,HFD,-0.7968682499325114,0.7968682499325114,Schaefer2018_17Networks_RH_DefaultC_IPL_2,DefaultC,3
237,Spectral_Slope,0.7815635059649724,0.7815635059649724,Schaefer2018_17Networks_RH_SomMotA_15,SomMotA,3
140,DFA,-0.775546659173123,0.775546659173123,Schaefer2018_17Networks_LH_ContB_PFClv_2,ContB,3
219,HFD,-0.7737504501868234,0.7737504501868234,Schaefer2018_17Networks_RH_VisPeri_ExStrSup_8,VisPeri,3
397,Spectral_Slope,0.761223637388728,0.761223637388728,Schaefer2018_17Networks_RH_TempPar_8,TempPar,3
290,DFA,0.7589415824403001,0.7589415824403001,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,3
110,DFA,-0.7586356235681152,0.7586356235681152,Schaefer2018_17Networks_LH_Limbic_OFC_3,Limbic,3
116,Spectral_Slope,0.7417267136110722,0.7417267136110722,Schaefer2018_17Networks_LH_Limbic_TempPole_4,Limbic,3
