,Mean,Std
Fold,2.0,1.0
AUC,0.5320901865019512,0.13027655100062518
Accuracy,0.6936882435974995,0.10368385972924261
BalancedAccuracy,0.5079095740860448,0.1091201620011421
Sensitivity,0.2698412698412698,0.19967850199062104
Specificity,0.7459778783308195,0.11059541893928762
TopK,20.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
