Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.6378205128205128,0.7931034482758621,0.5160256410256411,0.16666666666666666,0.8653846153846154,20,CN,Dementia,115,58,102,13,52,6
2,0.38655462184873945,0.5862068965517241,0.39495798319327735,0.14285714285714285,0.6470588235294118,20,CN,Dementia,115,58,103,12,51,7
3,0.5718954248366013,0.7017543859649122,0.6127450980392157,0.5,0.7254901960784313,20,CN,Dementia,116,57,103,13,51,6
