,Mean,Std
Fold,2.0,1.0
AUC,0.4864403026167732,0.0981848989697465
Accuracy,0.7054849768098407,0.08839173874656367
BalancedAccuracy,0.444947209653092,0.11432492820056862
Sensitivity,0.1111111111111111,0.19245008972987526
Specificity,0.7787833081950728,0.08285106910051088
TopK,30.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
