Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.7115384615384615,0.7586206896551724,0.717948717948718,0.6666666666666666,0.7692307692307693,30,CN,Dementia,115,58,102,13,52,6
2,0.5210084033613446,0.7586206896551724,0.49299719887955185,0.14285714285714285,0.8431372549019608,30,CN,Dementia,115,58,103,12,51,7
3,0.7156862745098039,0.7368421052631579,0.5588235294117647,0.3333333333333333,0.7843137254901961,30,CN,Dementia,116,57,103,13,51,6
