Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.766025641025641,0.8620689655172413,0.5544871794871795,0.16666666666666666,0.9423076923076923,50,CN,Dementia,115,58,102,13,52,6
2,0.4341736694677871,0.6551724137931034,0.37254901960784315,0.0,0.7450980392156863,50,CN,Dementia,115,58,103,12,51,7
3,0.5326797385620915,0.7543859649122807,0.5686274509803921,0.3333333333333333,0.803921568627451,50,CN,Dementia,116,57,103,13,51,6
