,Mean,Std
Fold,2.0,1.0
AUC,0.5776263496851732,0.17043057573480122
Accuracy,0.7572091147408752,0.10347716371282475
BalancedAccuracy,0.49855455002513827,0.10935278730459208
Sensitivity,0.16666666666666666,0.16666666666666666
Specificity,0.8304424333836099,0.10124440240688959
TopK,50.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
