ROI_Index,Feature,EffectSize,AbsEffect,ROI_Name,Network,Fold
327,Spectral_Slope,1.0635433306368933,1.0635433306368933,Schaefer2018_17Networks_RH_ContA_IPS_4,ContA,1
392,Spectral_Slope,0.9978979818429271,0.9978979818429271,Schaefer2018_17Networks_RH_TempPar_3,TempPar,1
111,Spectral_Slope,0.9750851590692041,0.9750851590692041,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,1
159,Spectral_Slope,0.9511729180109683,0.9511729180109683,Schaefer2018_17Networks_LH_DefaultA_pCunPCC_7,DefaultA,1
290,DFA,0.9191977847195706,0.9191977847195706,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,1
415,HFD,0.8671605396550967,0.8671605396550967,FreeSurfer_Right-Accumbens-area,Subcortical,1
96,Spectral_Slope,0.8664606263472072,0.8664606263472072,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_3,SalVentAttnA,1
356,Spectral_Slope,0.8567412760116978,0.8567412760116978,Schaefer2018_17Networks_RH_ContC_Cingp_2,ContC,1
274,Spectral_Slope,0.8523380715299501,0.8523380715299501,Schaefer2018_17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,1
44,HFD,-0.8520414482175229,0.8520414482175229,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB,1
44,Spectral_Slope,0.8493601119770342,0.8493601119770342,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB,1
415,DFA,-0.8479773144215675,0.8479773144215675,FreeSurfer_Right-Accumbens-area,Subcortical,1
103,DFA,-0.8435185014216897,0.8435185014216897,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
368,DFA,-0.8326250504204943,0.8326250504204943,Schaefer2018_17Networks_RH_DefaultA_PFCm_2,DefaultA,1
121,Spectral_Slope,0.8137065366501685,0.8137065366501685,Schaefer2018_17Networks_LH_ContA_IPS_1,ContA,1
169,DFA,0.8122426801914383,0.8122426801914383,Schaefer2018_17Networks_LH_DefaultB_Temp_4,DefaultB,1
89,HFD,-0.8030322513141729,0.8030322513141729,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA,1
356,DFA,0.7989920254361176,0.7989920254361176,Schaefer2018_17Networks_RH_ContC_Cingp_2,ContC,1
394,Spectral_Slope,0.7853018442706576,0.7853018442706576,Schaefer2018_17Networks_RH_TempPar_5,TempPar,1
297,Spectral_Slope,0.7834280611515917,0.7834280611515917,Schaefer2018_17Networks_RH_SalVentAttnA_ParMed_3,SalVentAttnA,1
294,HFD,-0.7708871842093726,0.7708871842093726,Schaefer2018_17Networks_RH_SalVentAttnA_FrOper_3,SalVentAttnA,1
290,Spectral_Slope,0.7598103547953263,0.7598103547953263,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,1
398,DFA,0.7522796707900886,0.7522796707900886,Schaefer2018_17Networks_RH_TempPar_9,TempPar,1
103,HFD,0.7478915670520405,0.7478915670520405,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
376,HFD,0.7351353545864365,0.7351353545864365,Schaefer2018_17Networks_RH_DefaultB_PFCd_1,DefaultB,1
394,HFD,-0.733897932256188,0.733897932256188,Schaefer2018_17Networks_RH_TempPar_5,TempPar,1
54,DFA,0.731492188337703,0.731492188337703,Schaefer2018_17Networks_LH_SomMotB_Cent_1,SomMotB,1
304,Spectral_Slope,0.7298808959138182,0.7298808959138182,Schaefer2018_17Networks_RH_SalVentAttnB_PFClv_1,SalVentAttnB,1
284,HFD,-0.728094604751843,0.728094604751843,Schaefer2018_17Networks_RH_SalVentAttnA_ParOper_1,SalVentAttnA,1
124,Spectral_Slope,0.7158346460419737,0.7158346460419737,Schaefer2018_17Networks_LH_ContA_IPS_4,ContA,1
45,DFA,0.7142657465548993,0.7142657465548993,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
44,DFA,0.7087280189025499,0.7087280189025499,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB,1
92,Spectral_Slope,0.704344447628826,0.704344447628826,Schaefer2018_17Networks_LH_SalVentAttnA_FrOper_1,SalVentAttnA,1
146,HFD,-0.7030928820212495,0.7030928820212495,Schaefer2018_17Networks_LH_ContC_Cingp_1,ContC,1
54,HFD,-0.7030422605713359,0.7030422605713359,Schaefer2018_17Networks_LH_SomMotB_Cent_1,SomMotB,1
103,Spectral_Slope,-0.6990200163963262,0.6990200163963262,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
253,HFD,-0.6977778864123323,0.6977778864123323,Schaefer2018_17Networks_RH_SomMotB_S2_11,SomMotB,1
398,HFD,-0.6974933848841367,0.6974933848841367,Schaefer2018_17Networks_RH_TempPar_9,TempPar,1
52,Spectral_Slope,0.6964417457057818,0.6964417457057818,Schaefer2018_17Networks_LH_SomMotB_S2_5,SomMotB,1
278,Spectral_Slope,0.6944873158425134,0.6944873158425134,Schaefer2018_17Networks_RH_DorsAttnB_PostC_6,DorsAttnB,1
33,Spectral_Slope,0.6941759197149707,0.6941759197149707,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA,1
113,Spectral_Slope,-0.6888768368038842,0.6888768368038842,Schaefer2018_17Networks_LH_Limbic_TempPole_1,Limbic,1
274,HFD,-0.6876483715952221,0.6876483715952221,Schaefer2018_17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,1
96,DFA,0.6843482239847766,0.6843482239847766,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_3,SalVentAttnA,1
54,Spectral_Slope,0.6829485588009258,0.6829485588009258,Schaefer2018_17Networks_LH_SomMotB_Cent_1,SomMotB,1
244,HFD,-0.6820613476669884,0.6820613476669884,Schaefer2018_17Networks_RH_SomMotB_Aud_2,SomMotB,1
329,Spectral_Slope,0.6818118529460079,0.6818118529460079,Schaefer2018_17Networks_RH_ContA_PFCl_1,ContA,1
45,HFD,-0.6803497067114468,0.6803497067114468,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
276,Spectral_Slope,0.6759496149409416,0.6759496149409416,Schaefer2018_17Networks_RH_DorsAttnB_PostC_4,DorsAttnB,1
45,Spectral_Slope,0.6723461969155501,0.6723461969155501,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
403,HFD,1.5058757098184383,1.5058757098184383,FreeSurfer_Left-Pallidum,Subcortical,2
108,Spectral_Slope,-1.4261406624649542,1.4261406624649542,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
111,HFD,1.3160403660773834,1.3160403660773834,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
108,HFD,1.315573448450819,1.315573448450819,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
111,Spectral_Slope,-1.1618720727879257,1.1618720727879257,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
319,HFD,1.127418379139641,1.127418379139641,Schaefer2018_17Networks_RH_Limbic_TempPole_2,Limbic,2
319,DFA,-1.0336136320836766,1.0336136320836766,Schaefer2018_17Networks_RH_Limbic_TempPole_2,Limbic,2
408,Spectral_Slope,-0.979443630033358,0.979443630033358,FreeSurfer_Left-VentralDC,Subcortical,2
