ROI_Index,Feature,EffectSize,AbsEffect,ROI_Name,Network,Fold
103,DFA,-0.9981472879486774,0.9981472879486774,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
290,DFA,0.9801586568809475,0.9801586568809475,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,1
274,Spectral_Slope,0.89666132164071,0.89666132164071,Schaefer2018_17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,1
274,DFA,0.8547923447613045,0.8547923447613045,Schaefer2018_17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,1
415,HFD,0.8085180194350564,0.8085180194350564,FreeSurfer_Right-Accumbens-area,Subcortical,1
111,HFD,1.365418359563539,1.365418359563539,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
108,HFD,1.3225526745705893,1.3225526745705893,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
108,Spectral_Slope,-1.3036395608809572,1.3036395608809572,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
111,Spectral_Slope,-1.1865671412798722,1.1865671412798722,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
403,HFD,1.1431069433421193,1.1431069433421193,FreeSurfer_Left-Pallidum,Subcortical,2
103,DFA,-0.9508920016145735,0.9508920016145735,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,3
357,Spectral_Slope,0.8609401461296609,0.8609401461296609,Schaefer2018_17Networks_RH_DefaultA_Temp_1,DefaultA,3
96,DFA,0.8453770281131856,0.8453770281131856,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_3,SalVentAttnA,3
103,HFD,0.8451143351373087,0.8451143351373087,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,3
410,HFD,-0.8078229633656883,0.8078229633656883,FreeSurfer_Right-Caudate,Subcortical,3
