Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.766025641025641,0.7758620689655172,0.7275641025641025,0.6666666666666666,0.7884615384615384,5,CN,Dementia,115,58,102,13,52,6
2,0.2661064425770308,0.5172413793103449,0.4173669467787115,0.2857142857142857,0.5490196078431373,5,CN,Dementia,115,58,103,12,51,7
3,0.6111111111111112,0.7192982456140351,0.5490196078431372,0.3333333333333333,0.7647058823529411,5,CN,Dementia,116,57,103,13,51,6
