group,n,mean,std,median,feature
CN,154,2.178577391378314,0.021098246423787242,2.185698857119232,Fractal_Dim
Dementia,19,2.16937568189897,0.020267524312023798,2.17199168516589,Fractal_Dim
MCI,56,2.1776691231893754,0.021791769150247154,2.1831274562419756,Fractal_Dim
CN,154,0.44969299918161676,0.1925387714587865,0.4135385958003852,Graph_Density
Dementia,19,0.3302237938584821,0.1428346512995248,0.321952725066783,Graph_Density
MCI,56,0.43067241423873426,0.19119490301654013,0.3940837155841253,Graph_Density
CN,154,194.71706864564007,83.36928804165456,179.0622119815668,Graph_MeanDegree
Dementia,19,142.98690274072277,61.847404012694234,139.40552995391704,Graph_MeanDegree
MCI,56,186.48115536537196,82.78739300616186,170.63824884792626,Graph_MeanDegree
CN,154,74.25195063340064,18.733259786052734,78.01572735083472,Graph_StdDegree
Dementia,19,64.42586755941184,15.254274922001466,67.97329750179581,Graph_StdDegree
MCI,56,72.22333407064328,18.96065994332448,77.57954835533545,Graph_StdDegree
CN,154,5.9604521253352605,0.047075020051626934,5.965191847130505,Graph_Entropy
Dementia,19,5.934874424750071,0.035999906981019916,5.934196876623005,Graph_Entropy
MCI,56,5.956757318509495,0.04867965120653067,5.959827679521819,Graph_Entropy
CN,154,-1.4720545442626596,0.49990352572487234,-1.5122993634664668,Graph_ThresholdScaling
Dementia,19,-1.753404849437973,0.3939745532666023,-1.7721335138376149,Graph_ThresholdScaling
MCI,56,-1.5193516282361814,0.5172646389318268,-1.606215169509182,Graph_ThresholdScaling
CN,154,0.5329228450229415,0.19529324796818057,0.5215057810952257,Spectral_Slope
Dementia,19,0.5223015301962137,0.18221962181382864,0.4954144655807373,Spectral_Slope
MCI,56,0.5124178632298524,0.23033407097277786,0.5212777875811776,Spectral_Slope
CN,154,0.6914867405705322,0.0634975347651668,0.6917329861797332,DFA
Dementia,19,0.6915082042271807,0.056448430484147154,0.6741902981526435,DFA
MCI,56,0.6904879657524756,0.06807071447491395,0.6987401955486049,DFA
CN,154,0.9209232325524711,0.03310037468838811,0.9237635655632641,HFD
Dementia,19,0.922453622690968,0.02840512516432361,0.922325154079059,HFD
MCI,56,0.9217866238250917,0.035301666956985354,0.9283178512193242,HFD
CN,154,0.008305281063791192,0.00213202430020156,0.007839661235715351,Hvar
Dementia,19,0.00851489059313682,0.0013851590397286455,0.0085449630900087,Hvar
MCI,56,0.00881698064982447,0.0021375399294953565,0.0084019626195479,Hvar
CN,154,0.28863268386266777,0.03134655990893766,0.28530946133703133,Hrange
Dementia,19,0.2941934387826781,0.023490321354399147,0.2941022196810876,Hrange
MCI,56,0.2964974716057266,0.03167519561302372,0.29663046281961764,Hrange
CN,154,0.00031448430722939803,0.007855224797518068,-0.00029914290901554997,Htrend
Dementia,19,0.00011364183689739462,0.005495167884361401,0.0001049743776413,Htrend
MCI,56,-0.0017872206954268268,0.00851975634382771,-0.00066594983528185,Htrend
