feature,group1,group2,cohens_d,welch_t_stat,welch_df,welch_p_approx,mannwhitney_u,mannwhitney_p,mean_group1,mean_group2,median_group1,median_group2,n_group1,n_group2,fdr_welch_p,fdr_mannwhitney_p
Graph_MeanDegree,CN,Dementia,0.6357218569003117,3.295156727583377,26.81666086765211,0.0009836680156705135,915.0,0.00780302157932411,194.71706864564007,142.98690274072277,179.0622119815668,139.40552995391704,154,19,0.005902008094023081,0.024147947665993374
Graph_Density,CN,Dementia,0.6357218569003116,3.2951567275833784,26.816660867652104,0.0009836680156705135,915.0,0.00780302157932411,0.44969299918161676,0.3302237938584821,0.4135385958003852,0.321952725066783,154,19,0.005902008094023081,0.024147947665993374
Graph_ThresholdScaling,CN,Dementia,0.57437999119673,2.8432264542788426,25.741827932702034,0.004465932684529106,942.0,0.01142595351829434,-1.4720545442626596,-1.753404849437973,-1.5122993634664668,-1.7721335138376149,154,19,0.01466487734989208,0.024147947665993374
Graph_MeanDegree,MCI,Dementia,0.5565693317278486,2.4174311204951935,41.51623594182545,0.01563049194711752,355.0,0.031069122042429953,186.48115536537196,142.98690274072277,170.63824884792626,139.40552995391704,56,19,0.09378295168270645,0.12210695538202754
Graph_Density,MCI,Dementia,0.5565693317278485,2.417431120495193,41.51623594182545,0.01563049194711774,355.0,0.031069122042429953,0.43067241423873426,0.3302237938584821,0.3940837155841253,0.321952725066783,56,19,0.09378295168270645,0.12210695538202754
Graph_Entropy,CN,Dementia,0.5556158679282892,2.8143043438027737,26.258377790052116,0.004888292449964027,848.0,0.002828805433585213,5.9604521253352605,5.934874424750071,5.965191847130505,5.934196876623005,154,19,0.01466487734989208,0.024147947665993374
Graph_StdDegree,CN,Dementia,0.5340826661778704,2.5781637317005783,25.218996953525394,0.009932692165634194,946.0,0.012073973832996687,74.25195063340064,64.42586755941184,78.01572735083472,67.97329750179581,154,19,0.023838461197522066,0.024147947665993374
Graph_ThresholdScaling,MCI,Dementia,0.47789778114241926,2.0569667217300784,40.660401046232316,0.03968942705961487,390.0,0.08366212447223154,-1.5193516282361814,-1.753404849437973,-1.606215169509182,-1.7721335138376149,56,19,0.1190682811788446,0.1762180488174332
Graph_Entropy,MCI,Dementia,0.47696132155195675,2.081477628088064,41.9743590062468,0.03739020975231644,358.0,0.03403635278215211,5.956757318509495,5.934874424750071,5.959827679521819,5.934196876623005,56,19,0.1190682811788446,0.12210695538202754
Fractal_Dim,CN,Dementia,0.43791913186456527,1.8586429432165823,23.0863223725863,0.06307776588092828,931.0,0.009800263601687398,2.178577391378314,2.16937568189897,2.185698857119232,2.17199168516589,154,19,0.12615553176185657,0.024147947665993374
Graph_StdDegree,MCI,Dementia,0.4303872803278009,1.8047584832182741,38.36664803185924,0.07111248369526568,392.0,0.0881090244087166,72.22333407064328,64.42586755941184,77.57954835533545,67.97329750179581,56,19,0.17066996086863764,0.1762180488174332
Fractal_Dim,MCI,Dementia,0.38707366198744847,1.5116602867731954,33.21733038386352,0.13062030640843214,364.0,0.040702318460675846,2.1776691231893754,2.16937568189897,2.1831274562419756,2.17199168516589,56,19,0.2612406128168643,0.12210695538202754
Htrend,CN,MCI,0.26152683521542236,1.613423964733508,91.12874345836977,0.10665243011652925,3830.0,0.21579912763264808,0.00031448430722939803,-0.0017872206954268268,-0.00029914290901554997,-0.00066594983528185,154,56,0.4990108805867175,0.8117507844826214
