feature,group1,group2,cohens_d,welch_t_stat,welch_df,welch_p_approx,mannwhitney_u,mannwhitney_p,mean_group1,mean_group2,median_group1,median_group2,n_group1,n_group2,fdr_welch_p,fdr_mannwhitney_p
Spectral_Slope,CN,Dementia,0.14173547840699843,0.5840060052904684,22.69871227970046,0.5592162717355769,1339.0,0.5471704171859475,0.45045062220191656,0.4267762311169679,0.4413911451665827,0.426688208967354,154,19,0.9007461974175658,0.9380064294616243
Spectral_Slope,MCI,Dementia,-0.05007574394202406,-0.20824588346261053,37.68521705338319,0.8350369839822929,530.0,0.9805625134287135,0.4170030607186499,0.4267762311169679,0.411371298218312,0.426688208967354,56,19,0.835036983982293,0.9805625134287134
DFA,CN,MCI,0.058872266418939743,0.3570789328344055,88.52349775617628,0.7210327154013874,4282.0,0.9385917238184762,0.6616901624167655,0.658703182029225,0.6605572744923738,0.6603970359056777,154,56,0.8758421481110066,0.9733683685755259
DFA,CN,Dementia,-0.055529272093621136,-0.2202402973114174,22.244416675792607,0.8256840142994353,1392.0,0.7303223628526982,0.6616901624167655,0.6644274079805235,0.6605572744923738,0.6478114130235141,154,19,0.9007461974175658,0.9562259436429297
DFA,MCI,Dementia,-0.10550235042020123,-0.4118237119261281,33.18697906630105,0.6804686401312563,510.0,0.7886988913762167,0.658703182029225,0.6644274079805235,0.6603970359056777,0.6478114130235141,56,19,0.835036983982293,0.9805625134287134
HFD,CN,MCI,-0.15083439053849867,-0.8920785470571455,84.96069224904367,0.3723508327411982,3953.0,0.35657447700822953,0.9365320074783446,0.940660533642064,0.940716188647589,0.9464520642583055,154,56,0.8758421481110066,0.4971702245261298
HFD,CN,Dementia,-0.06371408525882293,-0.2597540947333978,22.567385920127528,0.7950534628018777,1416.0,0.8195066684017611,0.9365320074783446,0.9381901106000885,0.940716188647589,0.9365451615165942,154,19,0.9007461974175658,0.9562259436429297
HFD,MCI,Dementia,0.08285971553657993,0.33809474093702685,36.21137082592846,0.7352917935638001,506.0,0.7514500548442813,0.940660533642064,0.9381901106000885,0.9464520642583055,0.9365451615165942,56,19,0.835036983982293,0.9805625134287134
Hvar,CN,MCI,-0.06388241561998943,-0.49229471302012323,147.37388419546434,0.6225110171156252,3671.0,0.0997456410564228,0.008232929849054856,0.008341505875290414,0.007886943466767351,0.0080958520690241,154,56,0.8758421481110066,0.4971702245261298
Hvar,CN,Dementia,-0.129341252597529,-0.65843541694464,26.37634714407749,0.5102583836484396,1236.0,0.27043618835805106,0.008232929849054856,0.008465754487271254,0.007886943466767351,0.0081579007482479,154,19,0.9007461974175658,0.9380064294616243
Hvar,MCI,Dementia,-0.09804868107954985,-0.34508754345232373,27.89582000588024,0.7300285578023029,515.0,0.8359385266599118,0.008341505875290414,0.008465754487271254,0.0080958520690241,0.0081579007482479,56,19,0.835036983982293,0.9805625134287134
Hrange,CN,MCI,-0.08256549950169895,-0.6187674501858608,137.55987824292416,0.5360695681261249,3854.0,0.239537335620978,0.285460881717442,0.287346446835464,0.28232277409885875,0.2839022476268147,154,56,0.8758421481110066,0.4971702245261298
Hrange,CN,Dementia,-0.15560792286404543,-0.7281120031111202,24.62474723524258,0.46654502675524734,1245.0,0.2898892226241565,0.285460881717442,0.2892174914208112,0.28232277409885875,0.2909458036640641,154,19,0.9007461974175658,0.9380064294616243
Hrange,MCI,Dementia,-0.1024274188228439,-0.3529311067966732,27.048581369635457,0.7241400896901871,501.0,0.7057001660699076,0.287346446835464,0.2892174914208112,0.2839022476268147,0.2909458036640641,56,19,0.835036983982293,0.9805625134287134
Htrend,CN,MCI,0.16026303315761214,1.010513917660878,94.74058165141666,0.312249134863527,3999.0,0.42152172956575695,-0.00037571056909440037,-0.0014299160929679919,-0.00021902357573145,-0.0008399243186256501,154,56,0.8758421481110066,0.5058260754789083
Htrend,CN,Dementia,-0.1820651453644032,-0.9667332620641064,27.448086417117068,0.3336773946677105,1311.0,0.46054949167934556,-0.00037571056909440037,0.0007801310229042104,-0.00021902357573145,0.0010901720201906,154,19,0.9007461974175658,0.9380064294616243
Htrend,MCI,Dementia,-0.3508020504266864,-1.5760612649307093,44.981487193996976,0.1150116847975764,437.0,0.24715997321190697,-0.0014299160929679919,0.0007801310229042104,-0.0008399243186256501,0.0010901720201906,56,19,0.835036983982293,0.9805625134287134
