group,n,mean,std,median,feature
CN,154,2.1237883928910195,0.035970892843523596,2.1266474930154056,Fractal_Dim
Dementia,19,2.129559582743819,0.02696917953305193,2.12122895851394,Fractal_Dim
MCI,56,2.125186226426034,0.036315101645511126,2.1302046195123823,Fractal_Dim
CN,154,0.146172071667756,0.0629728535544795,0.1336511957088579,Graph_Density
Dementia,19,0.14053535089306365,0.045525060529577784,0.1203265184491438,Graph_Density
MCI,56,0.14450068189385562,0.07047221497242921,0.12671214652887897,Graph_Density
CN,154,63.292507032138374,27.26724558908962,57.87096774193549,Graph_MeanDegree
Dementia,19,60.85180693669658,19.71235120930718,52.10138248847926,Graph_MeanDegree
MCI,56,62.5687952600395,30.51446908306184,54.86635944700461,Graph_MeanDegree
CN,154,35.538950308506955,12.442484114656596,33.45481417155217,Graph_StdDegree
Dementia,19,34.92220145992129,9.168670263508954,34.195045429114,Graph_StdDegree
MCI,56,33.98430246729585,14.056238953126938,32.109058908536895,Graph_StdDegree
CN,154,5.884232767467046,0.06392131761985703,5.892332308073099,Graph_Entropy
Dementia,19,5.882719949166753,0.055083113613085315,5.890913728136934,Graph_Entropy
MCI,56,5.8994139102153955,0.04926984088399978,5.905781251838869,Graph_Entropy
CN,154,-2.3366519551492795,0.3674024757416927,-2.3349699640278763,Graph_ThresholdScaling
Dementia,19,-2.410686786224248,0.30147521892565027,-2.4637012496543003,Graph_ThresholdScaling
MCI,56,-2.3861688763362316,0.37661784398127196,-2.405212117054477,Graph_ThresholdScaling
CN,154,0.45045062220191656,0.16707466375089672,0.4413911451665827,Spectral_Slope
Dementia,19,0.4267762311169679,0.16667097638148712,0.426688208967354,Spectral_Slope
MCI,56,0.4170030607186499,0.20362965976230107,0.411371298218312,Spectral_Slope
CN,154,0.6616901624167655,0.049044636083556706,0.6605572744923738,DFA
Dementia,19,0.6644274079805235,0.05136237822007624,0.6478114130235141,DFA
MCI,56,0.658703182029225,0.05517116959890827,0.6603970359056777,DFA
CN,154,0.9365320074783446,0.025993402640444543,0.940716188647589,HFD
Dementia,19,0.9381901106000885,0.026283786085805245,0.9365451615165942,HFD
MCI,56,0.940660533642064,0.030882491776359846,0.9464520642583055,HFD
CN,154,0.008232929849054856,0.0018415300548325038,0.007886943466767351,Hvar
Dementia,19,0.008465754487271254,0.0013990230983165028,0.0081579007482479,Hvar
MCI,56,0.008341505875290414,0.0012209892562184187,0.0080958520690241,Hvar
CN,154,0.285460881717442,0.02450702383359156,0.28232277409885875,Hrange
Dementia,19,0.2892174914208112,0.020776583259759084,0.2909458036640641,Hrange
MCI,56,0.287346446835464,0.017367137651296473,0.2839022476268147,Hrange
CN,154,-0.00037571056909440037,0.006516606426497608,-0.00021902357573145,Htrend
Dementia,19,0.0007801310229042104,0.004681999116239855,0.0010901720201906,Htrend
MCI,56,-0.0014299160929679919,0.006745738998087296,-0.0008399243186256501,Htrend
