group,n,mean,std,median,feature
CN,154,2.144546653400411,0.02997179767629655,2.1481295930621473,Fractal_Dim
Dementia,19,2.1600587384516037,0.025237363801750304,2.166017899017015,Fractal_Dim
MCI,56,2.1504216887517122,0.030162196482131875,2.152157683652019,Fractal_Dim
CN,154,0.23230721450195482,0.10640800731577552,0.1992209533742723,Graph_Density
Dementia,19,0.2611055314663026,0.09118356762328558,0.2591820010429859,Graph_Density
MCI,56,0.24736326773874268,0.11673346117472379,0.2257532380455721,Graph_Density
CN,154,100.58902387934647,46.074667167730794,86.2626728110599,Graph_MeanDegree
Dementia,19,113.05869512490902,39.48248478088266,112.2258064516129,Graph_MeanDegree
MCI,56,107.10829493087557,50.54558868865541,97.75115207373273,Graph_MeanDegree
CN,154,47.30039656331549,17.318755458174905,45.26658004452768,Graph_StdDegree
Dementia,19,51.44920399975179,14.832448212565557,48.30562221160947,Graph_StdDegree
MCI,56,49.82388765487531,18.887315060658807,46.00713863575699,Graph_StdDegree
CN,154,5.931997505551158,0.04383002769491054,5.937336171408662,Graph_Entropy
Dementia,19,5.94040667952781,0.0419438597906261,5.948448976380389,Graph_Entropy
MCI,56,5.934084723020356,0.04259660296145714,5.948763606143531,Graph_Entropy
CN,154,-1.963728681894712,0.36860421445142966,-1.9783416321103475,Graph_ThresholdScaling
Dementia,19,-1.8585678721361483,0.3015399715526034,-1.8774137156244612,Graph_ThresholdScaling
MCI,56,-1.95403964733172,0.3940497547495838,-2.0032751829989133,Graph_ThresholdScaling
CN,154,0.7102688439682235,0.17365749598203803,0.706545211971594,Spectral_Slope
Dementia,19,0.7492668717890949,0.20182789620899802,0.7663740830760785,Spectral_Slope
MCI,56,0.6848907761928699,0.2140676106432505,0.6791021536865305,Spectral_Slope
CN,154,0.8048845271510034,0.06639754630094387,0.8047511629987372,DFA
Dementia,19,0.8527611866850168,0.07365441478801094,0.8579495731824903,DFA
MCI,56,0.8186353942748522,0.080819949012307,0.8092841746939206,DFA
CN,154,0.88527852552141,0.03451773573822161,0.8892525398042546,HFD
Dementia,19,0.8682668973052201,0.042492889409922865,0.874027646627227,HFD
MCI,56,0.8840282212678677,0.042467948536216105,0.8906925469249651,HFD
CN,154,0.010530993047108408,0.002264967406564979,0.0100957233470794,Hvar
Dementia,19,0.012489773116302352,0.003104219052840367,0.0115082094082193,Hvar
MCI,56,0.01092977413888382,0.0019903190289922022,0.01052520668725755,Hvar
CN,154,0.3248162204246963,0.029406902040751096,0.3202785924107149,Hrange
Dementia,19,0.3517834955336908,0.036388876705725146,0.3422144893289746,Hrange
MCI,56,0.33252852846093006,0.02573645908978365,0.32906899440649373,Hrange
CN,154,0.0004301770481860715,0.008557599282546525,0.00021401174457235002,Htrend
Dementia,19,0.0005465121454434368,0.010648637654867807,0.0021128123715964,Htrend
MCI,56,0.000709796590120461,0.008528113286774948,0.00040263422124064995,Htrend
