ROI_Index,Feature,EffectSize,AbsEffect,ROI_Name,Network,Fold
113,Spectral_Slope,-1.339301323799089,1.339301323799089,Schaefer2018_17Networks_LH_Limbic_TempPole_1,Limbic,1
113,HFD,1.3278857797465031,1.3278857797465031,Schaefer2018_17Networks_LH_Limbic_TempPole_1,Limbic,1
208,DFA,-1.2723877858196042,1.2723877858196042,Schaefer2018_17Networks_RH_VisCent_ExStr_9,VisCent,1
402,DFA,-1.2526179768774202,1.2526179768774202,FreeSurfer_Left-Putamen,Subcortical,1
207,DFA,-1.2296053315831224,1.2296053315831224,Schaefer2018_17Networks_RH_VisCent_ExStr_8,VisCent,1
141,DFA,-1.1910479076610268,1.1910479076610268,Schaefer2018_17Networks_LH_ContB_PFClv_3,ContB,1
113,DFA,-1.163559036749784,1.163559036749784,Schaefer2018_17Networks_LH_Limbic_TempPole_1,Limbic,1
236,DFA,-1.1545482113932988,1.1545482113932988,Schaefer2018_17Networks_RH_SomMotA_14,SomMotA,1
351,DFA,-1.1335811865035559,1.1335811865035559,Schaefer2018_17Networks_RH_ContC_pCun_2,ContC,1
372,DFA,-1.1253534199704716,1.1253534199704716,Schaefer2018_17Networks_RH_DefaultA_PFCm_6,DefaultA,1
10,DFA,-1.1249901676622625,1.1249901676622625,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent,1
257,DFA,-1.1047782744867511,1.1047782744867511,Schaefer2018_17Networks_RH_SomMotB_Cent_3,SomMotB,1
8,DFA,-1.0981443969236535,1.0981443969236535,Schaefer2018_17Networks_LH_VisCent_ExStr_9,VisCent,1
103,HFD,1.0590039547796346,1.0590039547796346,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
409,DFA,-1.0510237436253926,1.0510237436253926,FreeSurfer_Right-Thalamus-Proper,Subcortical,1
103,DFA,-1.0448567858096038,1.0448567858096038,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
433,DFA,-1.043721838954863,1.043721838954863,Buckner2011_17Networks_17,Buckner,1
207,HFD,1.0303072167365053,1.0303072167365053,Schaefer2018_17Networks_RH_VisCent_ExStr_8,VisCent,1
411,DFA,-1.0145570364494017,1.0145570364494017,FreeSurfer_Right-Putamen,Subcortical,1
122,HFD,0.9744210091056658,0.9744210091056658,Schaefer2018_17Networks_LH_ContA_IPS_2,ContA,1
201,HFD,0.9615251475697955,0.9615251475697955,Schaefer2018_17Networks_RH_VisCent_ExStr_2,VisCent,1
201,Spectral_Slope,-0.9511004312116662,0.9511004312116662,Schaefer2018_17Networks_RH_VisCent_ExStr_2,VisCent,1
415,DFA,-0.9494617051352963,0.9494617051352963,FreeSurfer_Right-Accumbens-area,Subcortical,1
421,DFA,-0.9432215899579459,0.9432215899579459,Buckner2011_17Networks_5,Buckner,1
285,DFA,-0.94272965694557,0.94272965694557,Schaefer2018_17Networks_RH_SalVentAttnA_ParOper_2,SalVentAttnA,1
208,HFD,0.9411597820836909,0.9411597820836909,Schaefer2018_17Networks_RH_VisCent_ExStr_9,VisCent,1
237,DFA,-0.9399987491377193,0.9399987491377193,Schaefer2018_17Networks_RH_SomMotA_15,SomMotA,1
10,HFD,0.9225746751833866,0.9225746751833866,Schaefer2018_17Networks_LH_VisCent_ExStr_11,VisCent,1
417,DFA,-0.9173509870304593,0.9173509870304593,Buckner2011_17Networks_1,Buckner,1
351,HFD,0.9164356394963201,0.9164356394963201,Schaefer2018_17Networks_RH_ContC_pCun_2,ContC,1
100,HFD,0.908251751350397,0.908251751350397,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_1,SalVentAttnB,1
321,DFA,-0.8963335343053397,0.8963335343053397,Schaefer2018_17Networks_RH_Limbic_TempPole_4,Limbic,1
45,Spectral_Slope,0.8962449221672769,0.8962449221672769,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
401,DFA,-0.8957250642928029,0.8957250642928029,FreeSurfer_Left-Caudate,Subcortical,1
206,HFD,0.8954617656392009,0.8954617656392009,Schaefer2018_17Networks_RH_VisCent_Striate_1,VisCent,1
413,DFA,-0.8952016371578537,0.8952016371578537,FreeSurfer_Right-Hippocampus,Subcortical,1
100,DFA,-0.8921752947284902,0.8921752947284902,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_1,SalVentAttnB,1
111,HFD,-0.8919907654006629,0.8919907654006629,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,1
236,HFD,0.8882194127639819,0.8882194127639819,Schaefer2018_17Networks_RH_SomMotA_14,SomMotA,1
0,HFD,0.8840718356437361,0.8840718356437361,Schaefer2018_17Networks_LH_VisCent_ExStr_1,VisCent,1
236,Spectral_Slope,-0.8750118202340679,0.8750118202340679,Schaefer2018_17Networks_RH_SomMotA_14,SomMotA,1
15,DFA,-0.8704727745067284,0.8704727745067284,Schaefer2018_17Networks_LH_VisPeri_ExStrInf_4,VisPeri,1
354,DFA,-0.8646724040333188,0.8646724040333188,Schaefer2018_17Networks_RH_ContC_pCun_5,ContC,1
206,DFA,-0.859574314262094,0.859574314262094,Schaefer2018_17Networks_RH_VisCent_Striate_1,VisCent,1
405,DFA,-0.8532835519010268,0.8532835519010268,FreeSurfer_Left-Hippocampus,Subcortical,1
111,Spectral_Slope,0.8508726941034782,0.8508726941034782,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,1
183,DFA,-0.8477057312820477,0.8477057312820477,Schaefer2018_17Networks_LH_DefaultB_PFCv_2,DefaultB,1
407,DFA,-0.8476923160911167,0.8476923160911167,FreeSurfer_Left-Accumbens-area,Subcortical,1
411,HFD,0.8459055306951743,0.8459055306951743,FreeSurfer_Right-Putamen,Subcortical,1
203,DFA,-0.8361338403197027,0.8361338403197027,Schaefer2018_17Networks_RH_VisCent_ExStr_4,VisCent,1
381,HFD,1.585971120841197,1.585971120841197,Schaefer2018_17Networks_RH_DefaultB_PFCv_1,DefaultB,2
433,DFA,-1.47554407026959,1.47554407026959,Buckner2011_17Networks_17,Buckner,2
381,DFA,-1.4734712058464656,1.4734712058464656,Schaefer2018_17Networks_RH_DefaultB_PFCv_1,DefaultB,2
