Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.8012820512820513,0.7758620689655172,0.7275641025641025,0.6666666666666666,0.7884615384615384,50,CN,Dementia,115,58,102,13,52,6
2,0.5210084033613445,0.7758620689655172,0.5644257703081232,0.2857142857142857,0.8431372549019608,50,CN,Dementia,115,58,103,12,51,7
3,0.6437908496732025,0.7368421052631579,0.5588235294117647,0.3333333333333333,0.7843137254901961,50,CN,Dementia,116,57,103,13,51,6
