ROI_Index,Feature,EffectSize,AbsEffect,ROI_Name,Network,Fold
312,Spectral_Slope,0.9979664654693274,0.9979664654693274,Schaefer2018_17Networks_RH_Limbic_OFC_1,Limbic,1
291,Spectral_Slope,0.9558119125320276,0.9558119125320276,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_4,SalVentAttnA,1
111,Spectral_Slope,0.9215654354531322,0.9215654354531322,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,1
140,DFA,-0.9201247630834265,0.9201247630834265,Schaefer2018_17Networks_LH_ContB_PFClv_2,ContB,1
89,HFD,-0.9151491085341688,0.9151491085341688,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA,1
368,DFA,-0.8809580280018524,0.8809580280018524,Schaefer2018_17Networks_RH_DefaultA_PFCm_2,DefaultA,1
290,DFA,0.8671916332799388,0.8671916332799388,Schaefer2018_17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,1
89,DFA,0.8485321499934725,0.8485321499934725,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA,1
253,Spectral_Slope,0.8047706193801233,0.8047706193801233,Schaefer2018_17Networks_RH_SomMotB_S2_11,SomMotB,1
415,DFA,-0.8029312110049925,0.8029312110049925,FreeSurfer_Right-Accumbens-area,Subcortical,1
89,Spectral_Slope,0.7954240249531188,0.7954240249531188,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA,1
103,DFA,-0.7897818729288711,0.7897818729288711,Schaefer2018_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,1
433,DFA,-0.7881087541123147,0.7881087541123147,Buckner2011_17Networks_17,Buckner,1
141,DFA,-0.7849833159517325,0.7849833159517325,Schaefer2018_17Networks_LH_ContB_PFClv_3,ContB,1
108,DFA,0.7690033669034777,0.7690033669034777,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,1
253,HFD,-0.7656973720912275,0.7656973720912275,Schaefer2018_17Networks_RH_SomMotB_S2_11,SomMotB,1
45,HFD,-0.755991983626918,0.755991983626918,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
45,DFA,0.7522694690575669,0.7522694690575669,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
280,HFD,-0.7509405817954492,0.7509405817954492,Schaefer2018_17Networks_RH_DorsAttnB_PostC_8,DorsAttnB,1
415,HFD,0.7435205659827259,0.7435205659827259,FreeSurfer_Right-Accumbens-area,Subcortical,1
100,DFA,-0.7339648043202137,0.7339648043202137,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_1,SalVentAttnB,1
348,DFA,-0.7285612190047839,0.7285612190047839,Schaefer2018_17Networks_RH_ContB_PFClv_4,ContB,1
342,DFA,-0.7282385792173693,0.7282385792173693,Schaefer2018_17Networks_RH_ContB_PFCld_2,ContB,1
433,Spectral_Slope,-0.7184630090991025,0.7184630090991025,Buckner2011_17Networks_17,Buckner,1
92,Spectral_Slope,0.7127790338039746,0.7127790338039746,Schaefer2018_17Networks_LH_SalVentAttnA_FrOper_1,SalVentAttnA,1
43,Spectral_Slope,0.7098290754126301,0.7098290754126301,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB,1
312,HFD,-0.6952716477175946,0.6952716477175946,Schaefer2018_17Networks_RH_Limbic_OFC_1,Limbic,1
50,HFD,-0.695226218134049,0.695226218134049,Schaefer2018_17Networks_LH_SomMotB_S2_3,SomMotB,1
392,Spectral_Slope,0.693210702076682,0.693210702076682,Schaefer2018_17Networks_RH_TempPar_3,TempPar,1
45,Spectral_Slope,0.6896344655029795,0.6896344655029795,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,1
403,HFD,1.4089849505875234,1.4089849505875234,FreeSurfer_Left-Pallidum,Subcortical,2
132,HFD,1.2170855987973421,1.2170855987973421,Schaefer2018_17Networks_LH_ContA_Cingm_1,ContA,2
111,HFD,1.2022587446881188,1.2022587446881188,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
111,Spectral_Slope,-1.1754395526191814,1.1754395526191814,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
178,DFA,-1.103067490673313,1.103067490673313,Schaefer2018_17Networks_LH_DefaultB_PFCd_5,DefaultB,2
108,HFD,1.0607195586678841,1.0607195586678841,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
132,DFA,-1.0273726061272814,1.0273726061272814,Schaefer2018_17Networks_LH_ContA_Cingm_1,ContA,2
108,Spectral_Slope,-1.0130029037989918,1.0130029037989918,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
