Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.7211538461538461,0.8620689655172413,0.5544871794871795,0.16666666666666666,0.9423076923076923,30,CN,Dementia,115,58,102,13,52,6
2,0.3949579831932773,0.5862068965517241,0.3333333333333333,0.0,0.6666666666666666,30,CN,Dementia,115,58,103,12,51,7
3,0.39869281045751637,0.7368421052631579,0.4852941176470588,0.16666666666666666,0.803921568627451,30,CN,Dementia,116,57,103,13,51,6
