,Mean,Std
Fold,2.0,1.0
AUC,0.5760402451578922,0.011528122670170452
Accuracy,0.70508166969147,0.09653483607062557
BalancedAccuracy,0.5349242261006967,0.06388324008263462
Sensitivity,0.31746031746031744,0.16891902106184734
Specificity,0.7523881347410759,0.11617874900121511
TopK,30.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
