Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.5416666666666667,0.7931034482758621,0.5160256410256411,0.16666666666666666,0.8653846153846154,50,CN,Dementia,115,58,102,13,52,6
2,0.4929971988795518,0.6379310344827587,0.4243697478991597,0.14285714285714285,0.7058823529411765,50,CN,Dementia,115,58,103,12,51,7
3,0.6470588235294118,0.7017543859649122,0.6127450980392157,0.5,0.7254901960784313,50,CN,Dementia,116,57,103,13,51,6
