Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.4551282051282051,0.6896551724137931,0.532051282051282,0.3333333333333333,0.7307692307692307,5,CN,Dementia,115,58,102,13,52,6
2,0.22128851540616246,0.5172413793103449,0.35574229691876746,0.14285714285714285,0.5686274509803921,5,CN,Dementia,115,58,103,12,51,7
3,0.7418300653594772,0.7368421052631579,0.7058823529411764,0.6666666666666666,0.7450980392156863,5,CN,Dementia,116,57,103,13,51,6
