Fold,AUC,Accuracy,BalancedAccuracy,Sensitivity,Specificity,TopK,GroupA,GroupB,NTrain,NTest,Train_CN,Train_Dementia,Test_CN,Test_Dementia
1,0.5801282051282051,0.7413793103448276,0.6346153846153846,0.5,0.7692307692307693,5,CN,Dementia,115,58,102,13,52,6
2,0.37254901960784315,0.5344827586206896,0.4271708683473389,0.2857142857142857,0.5686274509803921,5,CN,Dementia,115,58,103,12,51,7
3,0.3888888888888889,0.5964912280701754,0.4068627450980392,0.16666666666666666,0.6470588235294118,5,CN,Dementia,116,57,103,13,51,6
