ROI_Index,Feature,EffectSize,AbsEffect,ROI_Name,Network,Fold
111,Spectral_Slope,1.198641947442512,1.198641947442512,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,1
392,Spectral_Slope,0.9593215657261825,0.9593215657261825,Schaefer2018_17Networks_RH_TempPar_3,TempPar,1
159,Spectral_Slope,0.9510475931262699,0.9510475931262699,Schaefer2018_17Networks_LH_DefaultA_pCunPCC_7,DefaultA,1
368,DFA,-0.9342848807410591,0.9342848807410591,Schaefer2018_17Networks_RH_DefaultA_PFCm_2,DefaultA,1
415,DFA,-0.8932532264457647,0.8932532264457647,FreeSurfer_Right-Accumbens-area,Subcortical,1
403,HFD,1.8429928530357884,1.8429928530357884,FreeSurfer_Left-Pallidum,Subcortical,2
108,Spectral_Slope,-1.1672745934473732,1.1672745934473732,Schaefer2018_17Networks_LH_Limbic_OFC_1,Limbic,2
132,HFD,1.1535848199869128,1.1535848199869128,Schaefer2018_17Networks_LH_ContA_Cingm_1,ContA,2
111,HFD,1.078012133625379,1.078012133625379,Schaefer2018_17Networks_LH_Limbic_OFC_4,Limbic,2
132,DFA,-1.0678053959306362,1.0678053959306362,Schaefer2018_17Networks_LH_ContA_Cingm_1,ContA,2
312,Spectral_Slope,1.00496023285802,1.00496023285802,Schaefer2018_17Networks_RH_Limbic_OFC_1,Limbic,3
45,Spectral_Slope,0.9782606773438958,0.9782606773438958,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB,3
392,Spectral_Slope,0.9699728024832897,0.9699728024832897,Schaefer2018_17Networks_RH_TempPar_3,TempPar,3
375,Spectral_Slope,0.8024181672898152,0.8024181672898152,Schaefer2018_17Networks_RH_DefaultB_AntTemp_1,DefaultB,3
385,HFD,-0.7968682499325114,0.7968682499325114,Schaefer2018_17Networks_RH_DefaultC_IPL_2,DefaultC,3
