,Mean,Std
Fold,2.0,1.0
AUC,0.44718870454164567,0.11541850347402395
Accuracy,0.6241177656785643,0.10617892900197064
BalancedAccuracy,0.4895496660202543,0.12604027928054723
Sensitivity,0.31746031746031744,0.16891902106184734
Specificity,0.661639014580191,0.10109331976729936
TopK,5.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
