,Mean,Std
Fold,2.0,1.0
AUC,0.5295793531087649,0.09918926010892966
Accuracy,0.699737850373059,0.09834348646503532
BalancedAccuracy,0.5604485383897148,0.1433227761608275
Sensitivity,0.38095238095238093,0.20619652471058064
Specificity,0.7399446958270488,0.08046825487408685
TopK,10.0,0.0
NTrain,115.33333333333333,0.5773502691896257
NTest,57.666666666666664,0.5773502691896258
Train_CN,102.66666666666667,0.5773502691896257
Train_Dementia,12.666666666666666,0.5773502691896257
Test_CN,51.333333333333336,0.5773502691896258
Test_Dementia,6.333333333333333,0.5773502691896258
